siret,siren,nic
91468574800016,914685748,00016
89371474100020,893714741,00020
81404330300050,814043303,00050
91469715600018,914697156,00018
91473331600022,914733316,00022
91474500500019,914745005,00019
83232297800020,832322978,00020
49322356400011,493223564,00011
91474714200018,914747142,00018
89375780700035,893757807,00035
89376000900033,893760009,00033
89376234400016,893762344,00016
91480024800017,914800248,00017
91481574100014,914815741,00014
91487398900018,914873989,00018
91488180000017,914881800,00017
75047141900044,750471419,00044
91488657700016,914886577,00016
91120497200010,911204972,00010
91489777200010,914897772,00010
41437173200093,414371732,00093
91491785100018,914917851,00018
38133206300027,381332063,00027
87773480600012,877734806,00012
91491857800016,914918578,00016
91494616500018,914946165,00018
44904121900014,449041219,00014
91496327700019,914963277,00019
49356752300029,493567523,00029
91496455600015,914964556,00015
91496461400012,914964614,00012
91498715100018,914987151,00018
49358822200080,493588222,00080
91500411300014,915004113,00014
91502977100010,915029771,00010
91503269200013,915032692,00013
91505059500015,915050595,00015
38172504300032,381725043,00032
38176632800060,381766328,00060
91508164000012,915081640,00012
84092811300017,840928113,00017
91508820700013,915088207,00013
91509992300012,915099923,00012
91511042300018,915110423,00018
91511167800016,915111678,00016
91514766400014,915147664,00014
89410018900014,894100189,00014
84177388000015,841773880,00015
91518175400010,915181754,00010
91518485700018,915184857,00018
91518601900013,915186019,00013
91519060700019,915190607,00019
13002793100018,130027931,00018
53161482400039,531614824,00039
38238159800038,382381598,00038
91521876200010,915218762,00010
91523362100019,915233621,00019
84830882100026,848308821,00026
91523812500016,915238125,00016
78566104200016,785661042,00016
34902150100029,349021501,00029
91530420800019,915304208,00019
91533575600010,915335756,00010
91536429300018,915364293,00018
91540123600012,915401236,00012
88313422300022,883134223,00022
78574029100337,785740291,00337
91741208200013,917412082,00013
89428673100027,894286731,00027
91743075300017,917430753,00017
81488262700015,814882627,00015
49418824600032,494188246,00032
89430712300014,894307123,00014
91747219300015,917472193,00015
89432242900016,894322429,00016
78574029100824,785740291,00824
91753841500014,917538415,00014
49415091500010,494150915,00010
91755218400017,917552184,00017
91758218100017,917582181,00017
91760458900015,917604589,00015
78574029100980,785740291,00980
91763788600016,917637886,00016
43017105800158,430171058,00158
38311361000059,383113610,00059
91772607700014,917726077,00014
84065946000017,840659460,00017
89444604600019,894446046,00019
